序号,王名字,楔形文字/转写,名字分,名字逻辑 (上/犬/甲/田/深),王号标签,王号分,王号逻辑 (苏+阿硬核对撞),事迹描述,事迹分,终极逻辑汇总,
1,Alulim,𒀉𒇻𒅆,0.01,无物理对撞,Lugal,0.01,杀！ 仅苏美尔王号。,建立文明首序。,0.01,逻辑断裂。,
2,Alalngar,𒀉𒋭𒀉,0.5,Gar (方框特征/报),Lugal,0.01,杀！,统治 36000 年。,0.01,孤立报信号。,
3,En-men-lu-ana,𒂗𒈨𒇻𒀭𒈾,1,En (半方框/报) + Me (芦苇笔/乙),En,0.01,具备 En 职能，但缺乏阿卡德对撞。,早期资产管理。,0.5,报乙合龙。,
4,En-men-gal-ana,𒂗𒈨𒃲𒀭𒈾,1,En (半方框/报) + Me (芦苇笔/乙),En,0.01,仅苏美尔职能。,统治 28800 年。,0.5,报乙合龙。,
5,Dumuzid,𒌉𒍣,0.5,Zid (祭祀曲线/乙),Sipad,0.01,杀！ 仅牧人头衔。,牧人神。,0.1,孤立乙信号。,
6,En-sipad-zid-ana,𒂗𒉺𒍣𒀭𒈾,1,En (半方框/报) + Zid (曲线/乙),En,0.01,仅苏美尔职能。,统治 28800 年。,0.5,报乙高潮。,
7,En-men-dur-ana,𒂗𒈨樽𒀭𒈾,1,En (半方框/报) + Me (芦苇笔/乙),En,0.01,占卜祭司位格。,获得占卜秘术。,1,真神坍缩。,
8,Ubara-Tutu,𒌑𒁀ρας,0.5,Ba (半分/半框/报),Lugal,0.01,杀！,洪水前末王。,0.01,孤立报信号。,
9,Jushur,𒄑𒃡,0.01,无物理对撞,Lugal,0.01,杀！,洪水后首王。,0.5,秩序恢复。,
10,Kullassina-bel,𒆪𒆷𒋛𒈾𒁁𒂖,0.5,Ku (半开放框/报),Lugal+Bel,0.01,完美坍缩：苏美尔 Lugal + 阿卡德 Bel。,重建基什秩序。,1,报信号+硬核王号。,
11,Nangishlishma,𒈾𒇺,1,Liš (容器/半框/报) + Na (曲线/乙),Lugal,0.01,杀！,统治 670 年。,0.01,物理报乙对撞。,
12,En-tarah-ana,𒂗𒋫𒊏,1,En (半方框/报) + Tarah (弯角曲线/乙),En,0.01,仅苏美尔职能。,统治 420 年。,0.5,报乙对撞。,
13,Babum,𒁀𒁍𒌝,0.5,Ba (半框/报),Lugal,0.01,杀！,统治 300 年。,0.01,孤立报信号。,
14,Puannum,𒅤𒀭,0.5,Pu (井/方框特征/报),Lugal,0.01,杀！,统治 840 年。,0.01,孤立报信号。,
15,Kalibum,𒅗𒇷,0.5,Ka (口/开放框/报),Lugal,0.01,杀！,统治 960 年。,0.1,孤立报信号。,
16,Kalumum,𒅗𒇻,0.5,Ka (口/开放框/报),Lugal,0.01,杀！,统治 840 年。,0.1,孤立报信号。,
17,Zuqaqip,𒍪𒅗,0.5,Ka (口/半框/报),Lugal,0.01,杀！,统治 900 年。,0.01,孤立报信号。,
18,Atab,𒀀𒋫𒀊,0.01,无物理对撞,Lugal,0.01,杀！,统治 600 年。,0.01,0.01 斩首。,
19,Mashda,𒈦sda (Maš-da),1,Maš (半分/半框/报) + Da (延伸曲线/乙),Lugal,0.01,杀！,统治 840 年。,0.5,报乙极致坍缩。,
20,Arwium,𒅈𒌑,0.01,无物理对撞,Lugal,0.01,杀！,统治 720 年。,0.01,0.01 斩首。,
21,Etana,𒂊𒋫𒈾,1,E (半框/报) + Na (曲线/乙),Lugal,0.01,杀！ 虽名字报乙合龙，但王号仅苏美尔。,飞天求生，洪水后首位秩序重建者。,1,报乙真神：物理对撞“升天”与“祭祀”。,
22,Balih,𒁀𒇷ιχ,0.5,Ba (半框/报)，无乙信号。,Lugal,0.01,杀！,统治 400 年。,0.01,孤立报信号。,
23,En-me-nuna,𒂗𒈨𒉣𒈾,1,En (半框/报) + Me (芦苇笔/乙),En,0.01,仅苏美尔 En。,统治 660 年。,0.5,报乙合龙：深渊上方的笔触。,
24,Melem-Kish,𒈨𒉈𒅎,0.5,Me (芦苇笔/乙)，无报信号。,Lugal,0.01,杀！,统治 900 年。,0.01,孤立乙信号。,
25,Barsal-nuna,𒁇𒉣𒈾,1,Bar (半分/报) + Na (曲线/乙),Lugal,0.01,杀！,统治 1200 年。,0.01,报乙物理对撞。,
26,Zamug,𒍝𒈬𒊌,1,Ug (方框/报) + Za (芦苇笔/曲线/乙),Lugal,0.01,杀！,统治 140 年。,0.01,报乙物理坍缩。,
27,Tizqar,𒋾특갑,0.01,无物理对撞。,Lugal,0.01,杀！,统治 305 年。,0.01,逻辑断裂。,
28,Ilku,𒅋𒆪,0.5,Ku (半框/报)，无乙信号。,Lugal,0.01,杀！,统治 900 年。,0.1,孤立报信号。,
29,Iltasadum,𒅋𒋫,0.01,无物理对撞。,Lugal,0.01,杀！,统治 1200 年。,0.01,逻辑断裂。,
30,En-me-barage-si,𒂗𒈨𒁀𒊏Ꭸ𒋛,1,En (半框/报) + Si (角曲线/乙),En-Lugal,0.1,具备双重头衔，但缺阿卡德化。,击败外族埃兰。,1,报乙巅峰：半框与战斗曲线。,
31,Aga,𒀀𒂵,0.5,Ga (容器/半框/报),Lugal,0.01,杀！,基什第一王朝终结。,0.01,孤立报信号。,
32,Mesh-ki-ang-gasher,𒈩,0.5,Meš (半框/报),En,0.01,杀！,向太阳进发的奠基者。,0.5,孤立报信号。,
33,Enmerkar,𒂗𒈨𒅕,1,En (半框/报) + Me (芦苇笔/乙),Lugal,0.01,杀！,建立文字（契/示）。,1,报乙合龙：容器与文明笔触。,
34,Lugalbanda,𒈗,0.5,Banda (幼小/曲线/乙)，无报。,Lugal,0.01,杀！,众神之友。,0.5,孤立乙信号。,
35,Dumuzid (Fisher),𒌉,0.5,Dumu (曲线/乙),Lugal,0.01,杀！,统治 100 年。,0.1,孤立乙信号。,
36,Gilgamesh,𒄑𒂆,0.5,Bil (芦苇笔笔触/乙),Lugal,0.01,杀！,建立乌鲁克城墙。,0.1,孤立乙信号。,
37,Ur-Nungal,𒌨𒉣,1,Nun (方框/报) + Ur (动物曲线/乙),Lugal,0.01,杀！,统治 30 年。,0.01,报乙极致坍缩。,
38,Udul-kalama,𒌑𒌌,0.01,底噪。,Lugal,0.01,杀！,统治 15 年。,0.01,逻辑断裂。,
39,La-ba-shum,𒆷𒁀,0.5,Ba (半框/报),Lugal,0.01,杀！,统治 9 年。,0.01,孤立报信号。,
40,En-nun-tarah-ana,𒂗𒉣𒋻,1,En (半框/报) + Tarah (角曲线/乙),Lugal,0.01,杀！,统治 8 年。,0.01,报乙高潮：物理半框与山羊角。,
41,Mesh-he,𒈩𒃶 (Meš-he2),1,Meš (半框/报) + He2 (曲线/乙),Lugal,0.01,杀！ 仅苏美尔王号。,统治 36 年。,0.01,报乙合龙：半框骨架与曲线的物理坍缩。,
