SKL序号,王名字,楔形文字 / 转写 / 意义,S2名字得分,S2名字得分理由,历史王号,S2王号得分,王号得分理由,核心事迹,S2事迹得分,S2事迹得分理由
1,Alulim,𒀀𒇻𒅆 (A-lu-lim) / 水 + 鹿,0.5,含有 LIM (鹿) 动物特征，但主干为水，对 S2 属于亚稳态。,𒈗,0.01,统一锁定底噪,统治埃利都 28800 年。,0.5,大洪水前的终结者视角，符合早期失权逻辑。
2,Alalngar,𒀉𒋭𒃻 (Á-LÀL-ĜAR) / 手臂+甜+放置,0.01,纯音译底噪。无“豕/兽/水”拓扑。“蜂蜜(LÀL)”虽为流体，但非 S2 核心指纹。,𒈗 (Lugal),0.01,纯行政底噪。,统治埃利都 (Eridu) 36000 年。,0.01,无失权事迹。处于极早期稳态统治，无外族入侵或资产流失记录。
3,En-men-lu-ana,𒂗𒈨𒇽𒀭𒈾,0.01,侧重法度与天神，无动物特征。,𒈗,0.01,底噪,统治 43200 年。,0.01,守成期。
4,En-men-gal-ana,𒂗𒈨𒃲𒀭𒈾,0.01,GAL (大) 虽存在，但缺乏动物属性。,𒈗,0.01,底噪,统治 28800 年。,0.01,守成期。
5,Dumuzid,𒌉𒍣 (Dumu-zid) / 牧人,1,Dumu (子/幼兽) 早期字形具动物拓扑，且身份为牧人。,𒈗,0.01,底噪,畜牧业鼻祖，在洪水前被记录。,1,服牛/畜牧原型，对应王亥核心产业。
6,En-sipad-zid-ana,𒂗𒉺𒍣𒀭𒈾,0.01,侧重“牧人”头衔，但名字无物理动物拓扑。,𒈗,0.01,底噪,统治 28800 年。,0.01,守成期。
7,En-men-dur-ana,𒂗**𒈨**** 仕様 **,0.01,无动物拓扑。,𒈗,0.01,底噪,统治 21000 年。,0.01,守成期。
8,Ubara-Tutu,𒌓𒁀𒊏,0.01,纯音译底噪。,𒈗,0.01,底噪,洪水前最后一位王。,0.5,亡国于洪水 (外力)，政权彻底终结。
9,Jushur,𒄑𒃡 (Ĝušur) / 基础,0.5,UR3 (𒃡) 与 UR (兽) 音韵共振。,𒈗 (Lugal),0.01,统一锁定底噪,洪水后首位君主，在基什建立王权。,0.5,文明重启/高祖点。对应王亥的奠基属性。
10,Kullassina-bel,কুল্লস্সিন-বেল / “他们皆为主”,0.01,无物理动物拓扑。,𒈗 (Lugal),0.01,底噪,权力高度不稳，多位统治者并存。,1,失权/权力混乱。对应王亥“丧失地位”逻辑。
11,Nangishlishma,𒈾𒀭𒄑𒇺𒈠,0.5,LIŠ (𒇺) 为杯/容器，具物理水/流体拓扑。,𒈗 (Lugal),0.01,底噪,统治基什 670 年。,0.01,守成期底噪。
12,En-tarah-ana,𒂗𒋫𒊏𒀭 (Tarah),1,TARAH (𒋫𒊏) 为野山羊/兽。物理坍缩。,𒈗 (Lugal),0.01,底噪,统治基什 420 年。,0.01,兽名王。对应“亥/豕”图腾。
13,Babum,𒁀𒁍𒌝 (Ba-bu-um),0.5,BA (𒁀) 涉及动物分割/祭祀。,𒈗 (Lugal),0.01,底噪,统治基什 300 年。,0.01,守成期底噪。
14,Puannum,𒅤𒀭𒉡𒌝 (PU-an-num),1,PU (𒅤) 意为**“井/水源”**。强水属性对撞。,𒈗 (Lugal),0.01,底噪,统治基什 840 年。,0.1,水属性名字，事迹单薄。
15,Kalibum,𒅗𒇷𒁍𒌝 (Kalbum),1,绝对兽名。阿卡德语意为 “狗/狼”。,𒈗 (Lugal),0.01,底噪,统治基什 960 年。,0.01,兽名王。物理对撞“亥/豕”。
16,Kalumum,𒅗𒇻𒈬𒌝 (Kalumum),1,绝对兽名。阿卡德语意为 “羔羊”。,𒈗 (Lugal),0.01,底噪,统治基什 840 年。,0.01,兽名王。物理对撞“亥/豕”。
17,Zuqaqip,𒍪𒅗𒆠𒅁 / 蝎子,1,绝对动物指纹。苏美尔语意为“蝎子”。,𒈗 (Lugal),0.01,统一锁定行政底噪,统治基什 900 年。,0.01,仅有名字，事迹单薄。
18,Atab,𒀀𒋫𒀊 / 父亲,0.01,无物理动物拓扑对撞。,𒈗 (Lugal),0.01,底噪,统治基什 600 年。,0.01,守成期底噪。
19,Mashda,𒈦𒁕 (Maš-da) / 瞪羚,1,绝对动物指纹。苏美尔语意为 Gazelle。,𒈗 (Lugal),0.01,底噪,统治基什 840 年。,0.01,仅有名字，事迹单薄。
20,Arwium,𒅈𒃾𒌝 / 狮子,1,绝对动物指纹。闪米特语意为“狮子”。,𒈗 (Lugal),0.01,底噪,统治基什 720 年。,0.01,动物属性极强，对应“兽”之图腾备份。
21,Etana,𒂊𒋫𒈾 / 升天者,0.5,身份为 Sipad (牧人)，具畜牧业职能拓扑。,𒉺𒇻 (Sipad),0.5,牧神职能相关，对应王亥“服牛”。,寻找生育草，骑鹰升天，使国土稳定。,1,服牛/畜牧之神话原型，对应王亥产业逻辑。
22,Balih,𒁀𒇷𒄴 / Etana之子,0.01,纯音译底噪。,𒈗 (Lugal),0.01,底噪,统治基什 400 年。,0.01,守成期。
23,En-me-nuna,𒂗𒈨𒉡𒈾,0.01,名字侧重法度与圣洁。,𒂗 (En),0.5,En = 尹/史，具早期管理职能。,统治基什 660 年。,0.01,守成期。
24,Melem-Kish,𒈨𒉈𒌝 / 基什之光,0.01,无动物图腾特征。,𒈗 (Lugal),0.01,底噪,统治基什 900 年。,0.01,守成期。
25,Barsal-nuna,𒁇𒊩𒉡𒈾,0.01,纯音译底噪。,𒈗 (Lugal),0.01,底噪,统治基什 1200 年。,0.01,守成期。
26,Zamug,𒍝𒈬𒊌,0.5,含有 MU (木/丰) 组件。,𒈗 (Lugal),0.01,底噪,统治基什 140 年。,0.01,守成期。
27,Tizqar,𒋾𒄑𒌉,0.5,含有 ĜIŠ (木) 组件。,𒈗 (Lugal),0.01,底噪,统治基什 305 年。,0.01,守成期。
28,Ilku,𒅋𒆪,0.01,纯音译底噪。,𒈗 (Lugal),0.01,底噪,统治基什 900 年。,0.01,守成期。
29,Iltasadum,𒅋𒋫𒊓𒁺𒌝,0.01,纯音译底噪。,𒈗 (Lugal),0.01,底噪,统治基什 1200 年。,0.01,守成期。
