SKL序号,王名字,楔形文字 / 转写 / 意义,S2名字得分,S2名字得分理由,历史王号,S2王号得分,王号得分理由,核心事迹,S2事迹得分,S2事迹得分理由
1,Alulim,𒀉𒇻𒅆 (A-lu-lim),0.01,物理信号偏向水与资产 (S2)，无太阳/示信号。,𒈗,0.01,行政底噪。,建立首个王权。,0.5,文明奠基，但非“复兴”逻辑。
2,Alalngar,𒀉𒋭𒀉 (A-lal3-ĝar) / 丰产,0.01,物理信号为丰产，无 S3 太阳/占卜核心指纹。,𒈗,0.01,行政底噪。,统治 36000 年。,0.01,守成底噪。
3,En-men-lu-ana,𒂗𒈨𒇻𒀭𒈾 (En-men-lu2-an-na),1,ANA (𒀭) 为太阳/天；EN (𒂗) 为祭司/占卜首领。,𒈗,0.5,En-Title 具备早期占卜管理职能。,统治 43200 年。,0.5,秩序维持，奠定“恒”之基调。
4,En-men-gal-ana,𒂗𒈨𒃲𒀭𒈾 (En-men-gal-an-na),1,ANA (𒀭) 太阳信号 + EN (𒂗) 占卜信号。,𒈗,0.5,同上。,统治 28800 年。,0.5,秩序维持。
5,Dumuzid,𒌉𒍣 (Dumu-zid),0.01,物理信号为“子/牧人”，归属 S2 亥维度。,𒉺𒇻,0.01,职能不匹配。,统治 36000 年。,0.01,无。
6,En-sipad-zid-ana,𒂗帕𒍣𒀭𒈾 (En-sipad-zid-an-na),1,ANA (太阳/天) 与 EN (占卜) 的双重叠加。,𒈗,0.5,同上。,统治 28800 年。,0.5,秩序维持。
7,En-men-dur-ana,𒂗𒈨樽𒀭𒈾 (En-men-dur-an-na),1,ANA (太阳) 信号；传说中从太阳神处获得占卜秘术。,𒈗,1,占卜始祖，物理对撞王恒“占卜/示”属性。,统治西帕尔（太阳神之城）。,1,太阳神代理人，完美坍缩王恒之“太阳/示”逻辑。
8,Ubara-Tutu,𒌑𒁀𒊏𒌉𒌉 (Ubara-Tutu),0.01,纯音译底噪。,𒈗,0.01,行政底噪。,洪水前最后一位王。,0.01,终结逻辑，非复兴。
9,Jushur,𒄑𒃡 (Ĝušur),0.1,侧重行政重启。,𒈗,0.01,底噪。,洪水后首位王，重启文明。,1,复国/复兴，从“大水”这个天灾外族手中夺回秩序。
10,Kullassina-bel,𒆪𒆷𒋛𒈾𒁁𒂖,0.5,BEL (主人/示) 具备神性指示意义。,𒈗,0.01,行政底噪。,洪水后权力整合期。,0.5,秩序重组。
11,Nangishlishma,𒈾𒄑𒇺𒈠 (Na-an-giš-liš-ma),0.01,侧重木材/行政，无太阳/示信号。,𒈗,0.01,行政底噪。,统治基什 670 年。,0.01,守成底噪。
12,En-tarah-ana,𒂗𒋫𒊏𒀭𒈾 (En-tarah-ana),1,ANA (太阳) 信号 + EN (占卜/示)。,𒈗,0.5,En-Title 具备原始占卜管理职能。,统治基什 420 年。,0.5,文明存续，处于洪水后早期的恢复期。
13,Babum,𒁀𒁍𒌝 (Ba-bu-um),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 300 年。,0.01,无。
14,Puannum,𒅤𒀭𒉡𒌝 (Pu-an-nu-um),0.5,含 AN (天/太阳) 信号。,𒈗,0.01,底噪。,统治 840 年。,0.01,守成。
15,Kalibum,𒅗𒇷𒁍𒌝 (Ka-li-bu-um),0.01,物理为狗/兽，S3 弱信号。,𒈗,0.01,底噪。,统治 960 年。,0.01,无。
16,Kalumum,𒅗𒇻𒈬𒌝 (Ka-lu-mu-um),0.01,物理为羊/兽。,𒈗,0.01,底噪。,统治 840 年。,0.01,无。
17,Zuqaqip,𒍪𒅗𒆠𒅁 (Zu-qa-qip),0.01,蝎子图腾。,𒈗,0.01,底噪。,统治 900 年。,0.01,无。
18,Atab,𒀀𒋫𒀊 (A-tab) / 烧灼,0.5,TAB (烧/光) 具备太阳/热量信号。,𒈗,0.01,底噪。,统治 600 年。,0.1,守成期。
19,Mashda,𒈦sda (Maš-da),0.01,羚羊图腾。,𒈗,0.01,底噪。,统治 840 年。,0.01,无。
20,Arwium,𒅈𒌑𒌝 (Ar-wi-um),0.01,狮子图腾。,𒈗,0.01,底噪。,统治 720 年。,0.01,无。
21,Etana,𒂊𒋫𒈾 (E-ta-na) / 飞天者,1,AN (𒀭) 隐藏信号。传说乘坐雄鹰直达天庭（太阳），寻求“生育之草”。,𒈗,0.01,行政底噪。,稳定大地者。在洪水后的混乱中重新确立王权。,1,复兴/复国逻辑。终结“无王时代”的动荡，重建秩序。
22,Balih,𒁀𒇷ιχ (Ba-li-ih),0.01,纯音译底噪。,𒈗,0.01,底噪。,Etana 之子。,0.1,守成期。
23,En-me-nuna,𒂗𒈨𒉣𒈾 (En-me-nun-na),1,EN (𒂗) 占卜 + ME (𒈨) 示/法制。双重占卜/祭祀信号。,𒂗,0.5,En-Title 具备原始祭司职能。,统治基什 660 年。,0.5,文明秩序延续。
24,Melem-Kish,𒈨𒉈𒅎 (Me-lem4) / 光辉,1,MELEM (光辉/光亮) 物理对撞太阳属性。,𒈗,0.01,底噪。,统治 900 年。,0.1,守成期。
25,Barsal-nuna,𒁇𒉣𒈾 (Bar-sal-nun-na),0.01,侧重流体/地位。,𒈗,0.01,底噪。,统治 1200 年。,0.1,守成期。
26,Zamug,𒍝𒈬갑 (Za-mu-ug),0.01,底噪。,𒈗,0.01,底噪。,统治 140 年。,0.01,无。
27,Tizqar,𒋾특갑 (Ti-iz-qar),0.01,底噪。,𒈗,0.01,底噪。,统治 305 年。,0.01,无。
28,Ilku,𒅋𒆪 (Il-ku),0.5,IL (神/示) 具备指示信号。,𒈗,0.01,底噪。,统治 900 年。,0.1,守成。
29,Iltasadum,𒅋𒋫𒊓𒁺𒌝,0.5,IL (神/示) 信号。,𒈗,0.01,底噪。,统治 1200 年。,0.1,守成。
30,En-me-barage-si,𒂗𒈨𒁀𒊏Ꭸ𒋛 (En-me-barag-ge-si),1,EN (占卜) + ME (示) + BARAG ( altar/祭坛/示)。信号大圆满。,𒂗,1,占卜/祭祀首领，物理对撞王恒职能。,击败埃兰 (Elam)。首位战胜异邦入侵者并复兴主权的记录。,1,复国/复仇。从同一个外族（埃兰）手中夺回资产/主权。
31,Aga,𒀀𒂵 (A-ga),0.01,侧重水属性 (S2)，S3 弱。,𒈗,0.01,底噪。,基什第一王朝终结者。,0.1,守成/易位。
32,Mesh-ki-ang-gasher,𒈩𒆠𒉘 / 英雄+光,0.5,物理拓扑指向向太阳山进发。,𒂗,0.5,具备早期祭司职能。,统治乌鲁克，消失于海/山。,0.5,开拓者逻辑。
33,Enmerkar,𒂗𒈨𒅕 (En-mer-kar),0.5,EN+ME 占卜信号。,𒈗,0.01,底噪。,远征阿拉塔，文字（契/示）的发明者。,1,建立新秩序/复兴文明。
34,Lugalbanda,𒈗 (Lugal-banda3),0.5,神化王。,𒉺𒇻,0.01,侧重牧人 (S2)。,众神之友。,0.5,神性秩序。
35,Dumuzid (Fisher),𒌉𒍣 (Dumu-zid),0.01,侧重贸易/水 (S2)。,𒈗,0.01,底噪。,渔夫。,0.1,贸易复兴。
36,Gilgamesh,𒄑𒂆𒈦 (Bil-ga-mes),0.01,侧重英雄史诗。,𒈗,0.01,底噪。,统治 126 年。,0.1,守成。
37,Ur-Nungal,𒌨 (Ur-Nungal),0.01,兽性信号 (S2)。,𒈗,0.01,底噪。,统治 30 年。,0.01,无。
38,Udul-kalama,𒌑𒌌 (Udul),0.01,牧主信号 (S2)。,𒈗,0.01,底噪。,统治 15 年。,0.01,无。
39,La-ba-shum,𒆷𒁀𒋳,0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 9 年。,0.01,无。
40,En-nun-tarah-ana,𒂗𒉣𒋫𒊏𒀭𒈾,1,EN (占卜) + ANA (太阳/天)。双重复核。,𒈗,0.01,底噪。,统治 8 年。,0.5,守成。
41,Mesh-he,𒈩𒃶 (Meš-he),0.01,英雄底噪，无太阳/示信号。,𒈗,0.01,行政底噪。,统治 36 年。,0.01,无。
42,Melem-ana,𒈨𒉈𒅎𒀭 (Me-lem4-an-na) / 光辉+太阳,1,Melem (光辉) 与 ANA (太阳/天) 物理对撞，极致 S3 信号。,𒈗,0.01,底噪。,统治乌鲁克 6 年。,0.1,守成。
43,Lugal-kitun,𒈗𒆠𒂅 (Lugal-ki-tun3),0.01,侧重基座/居所。,𒈗,0.01,底噪。,统治 36 年。,0.01,无。
44,Mesannepada,𒈩𒀭𒉌𒅆𒊒𒁕 (Meš-an-ne2-pa3-da),0.5,AN (太阳) 信号存在。,𒈗,0.01,底噪。,建立乌尔第一王朝，确立新权力秩序。,1,复兴/奠基逻辑，物理坍缩王恒之复国底色。
45,Mesh-ki-ang-nuna,𒈩𒆠𒉘𒉣𒈾 (Meš-ki-aĝ2-nun-na),0.1,侧重水属性 (S2)，S3 弱。,𒈗,0.01,底噪。,统治 36 年。,0.1,守成。
46,Elulu,𒂊𒇻𒇻 (E-lu-lu),0.01,资产信号 (S2)，S3 弱。,𒈗,0.01,底噪。,统治 25 年。,0.01,无。
47,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),0.01,资产分解信号 (S2)。,𒈗,0.01,底噪。,统治 36 年。,0.01,无。
48,Awan king 1,(未知),0.01,占位符。,𒈗,0.01,底噪,异邦政权开启。,0.1,权力位移。
49,Awan king 2,(未知),0.01,占位符。,𒈗,0.01,底噪,统治 3 年。,0.01,无。
50,Awan king 3,(未知),0.01,占位符。,𒈗,0.01,底噪,异邦政权终结。,0.1,权力更迭。
51,Susuda,𒋢𒋢𒁕 (Su-su-da),0.01,皮革信号 (S2)。,𒈗,0.01,底噪。,统治 201 年。,0.01,无。
52,Dadasig,𒁕𒁕𒋛𒅅 (Da-da-si-ig),0.01,SI (角) 信号对撞“亥”较强，对撞“恒”弱。,𒈗,0.01,底噪。,统治 81 年。,0.01,无。
53,Mamagal,𒈠𒈠𒃲 (Ma-ma-gal),0.01,侧重规模。,𒈗,0.01,底噪。,统治 360 年。,0.01,无。
54,Kalbum,𒅗𒀠𒁍 (Kal-bu),0.01,兽名 (S2)，S3 弱。,𒈗,0.01,底噪。,统治 195 年。,0.01,无。
55,Tuge,𒌅Ꭸ (Tu-ge),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 360 年。,0.01,无。
56,Men-nuna,𒈨𒉣𒈾 (Me-nun-na),0.01,侧重水属性 (S2)。,𒈗,0.01,底噪。,统治 180 年。,0.1,守成。
57,Enbi-Ishtar,𒂗𒁉𒀭𒈹 (En-bi-Ishtar),1,EN (占卜) + Ishtar (示/星/女神)。信号大圆满。,𒈗,0.01,底噪。,统治 290 年。,0.5,秩序维持，对撞“恒”之示/占。
58,Lugal-mu,𒈗𒈬 (Lugal-mu),0.01,侧重木/名。,𒈗,0.01,底噪。,统治 360 年。,0.01,无。
59,Hadanish,𒄩𒁕𒉌𒅖 (Ha-da-ni-iš),0.01,异邦底噪。,𒈗,0.01,底噪。,统治 360 年。,0.01,无。
60,Enshakushanna,𒂗𒊮𒆪𒀭ណា (En-ša3-kuš-an-na),1,EN (占卜) + ANA (太阳/天)。物理对撞“恒”之核心。,𒂗,0.5,En-Title 具备原始祭司/管理职能。,首位统一苏美尔之王，洗劫基什，复兴主权。,1,终极复兴/复仇。将王权从基什乱局中夺回并重组。
61,Lugal-kinishe-dudu,𒈗𒆠𒉌𒂠𒌌𒌌 (Lugal-ki-ni-še3-du7-du7),0.5,DU7-DU7 (𒌌𒌌) 物理语义含“完善/对撞”，对齐占卜的逻辑闭环。,𒈗,0.01,底噪。,统治乌鲁克 120 年，统一苏美尔。,1,复兴/大一统。将乱局重新导向秩序。
62,Argandea,𒅈𒃶𒁲𒀀 (Ar-gan-de2-a),0.01,水属性 (S2)，无 S3 指纹。,𒈗,0.01,底噪。,统治 7 年。,0.01,无。
63,Nanni,𒋀𒈾 (Nan-ni2),0.01,侧重稳定/宁静。,𒈗,0.01,底噪。,建立乌尔第二王朝。,0.5,秩序重建。
64,Mesh-ki-ang-Nanna,𒈩𒆠𒉘𒀭𒋀𒆠 (Meš-ki-aĝ2-Nanna),0.01,Nanna 为月神，属于水/潮汐 (S2)，非太阳。,𒈗,0.01,底噪。,统治 36 年。,0.1,守成。
65,Elulu,𒂊𒇻𒇻 (E2-lu-lu),0.01,资产信号 (S2)。,𒈗,0.01,底噪。,统治 25 年。,0.01,无。
66,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),0.01,资产分解信号 (S2)。,𒈗,0.01,底噪。,乌尔第二王朝终结。,0.01,逻辑断裂。
67,Lugal-Anne-Mundu,𒈗𒀭𒉈𒈬𒌦𒆕 (Lugal-an-ne2-mu-un-du3),1,AN (𒀭) 为太阳/天。名字意为“确立天之秩序的王”。,𒈗,1,正统复兴者。,复兴阿达布(Adab)，征服四方。史料载其“恢复了被遗忘的祭祀（示）”。,1,极致复国逻辑。从混乱中夺回主权并恢复祭祀。
68,Anbu,𒀭𒁍 (An-bu),0.5,AN (𒀭) 太阳信号存在。,𒈗,0.01,底噪。,建立马里王朝。,0.5,异域奠基。
69,Anba,𒀭𒁀 (An-ba),0.5,AN (太阳) + BA (分割/祭)。,𒈗,0.01,底噪。,统治 17 年。,0.1,守成。
70,Bazi,𒁀𒍣 (Ba-zi),0.5,BA (祭祀分割) 具备“示”的动作属性。,𒈗,0.01,底噪。,统治 30 年。,0.1,守成。
71,Zizi,𒍣𒍣 (Zi-zi),0.1,生命信号。,𒈗,0.01,底噪。,统治 20 年。,0.01,无。
72,Limer,𒇷𒈨 (Li-mer),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 30 年。,0.01,无。
73,Sharrum-iter,𒊬𒀸𒄿테 (Šar-rum-i-ter),0.5,ŠAR (𒊬) 具丰产/契刻（示）信号。,𒈗,0.01,底噪。,马里王朝终结。,0.01,无。
74,Ku-Baba,𒆪𒀭𒁀𒌑 (Ku3-Bau),0.1,猪神属性 (S2)，侧重生存力。,𒈗,0.01,底噪。,酒馆女主人，重建基什。,1,复国逻辑。从社会底层复兴王朝。
75,Unzi,𒌦𒍣 (Un-zi),0.1,侧重民众/生命。,𒈗,0.01,底噪。,建立阿克沙克王朝。,0.5,秩序更迭。
76,Undalulu,𒌦ंदा𒇻𒇻 (Un-da-lu-lu),0.01,资产信号 (S2)。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
77,Urur,𒌨𒌨 (Ur-ur),0.01,兽名信号 (S2)。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
78,Puzur-Nirah,𒅤𒊭𒀭𒈲 (Puzur4-Nirah),0.1,蛇神属性，偏水 (S2)。,𒈗,0.01,底噪。,统治 20 年。,0.1,守成。
79,Ishu-Il,𒄿𒋗𒅋 (I-šu-il),0.5,IL (神/示) 具备指示信号。,𒈗,0.01,底噪。,统治 24 年。,0.1,守成。
80,Ishme-Shamash,𒅖𒈨𒀭𒌓 (Iš-me-dUtu),1,UTU (太阳神) 直接出现在名字中。Ishme (听从) 指代神谕/占卜。,𒈗,1,太阳神代理人。物理对撞王恒“太阳+占卜”。,统治 11 年。,0.5,秩序维持。
81,Puzur-Suen,𒅤𒊭𒀭𒍪 (Puzur4-Suen) / 月神之秘,0.1,Suen (月神) 信号，物理属性为阴性/水，与“恒/太阳”低对撞。,𒈗,0.01,行政底噪。,统治基什 25 年。,0.1,守成期，无复兴爆发。
82,Ur-Zababa,𒌨𒀭𒍝巴巴 (Ur-dZa-ba-ba) / 猛兽+战神,0.01,UR (兽) 信号，归属 S2 亥维度。,𒈗,0.01,底噪。,萨尔贡曾为其侍从。,0.01,被篡位，无复兴。
83,Zimudar,𒍣𒈬𒁯 (Zi-mu-dar),0.01,生命信号。,𒈗,0.01,底噪。,统治 30 年。,0.01,无。
84,Usi-watar,𒌑𒋛𒉿𒋻 (U-si-wa-tar),0.01,底噪。,𒈗,0.01,底噪。,统治 7 年。,0.01,无。
85,Eshtar-muti,𒀭𒈹𒈬𒋾 (Eštar-mu-ti),0.5,Ishtar (星/神) 信号，具备“示”属性。,𒈗,0.01,底噪。,统治 11 年。,0.1,守成。
86,Ishme-Shamash,𒅖𒈨𒀭𒌓 (Iš-me-dUtu),1,UTU (太阳神) 绝对指纹。Ishme (听从) 对应神启/占卜。,𒈗,1,太阳神代理人。物理坍缩“恒”之核心。,基什第四王朝复兴，维持正统祭祀。,1,复兴逻辑。在乱局中维持“示/祭”之不辍。
87,Shu-ilishu,𒋗𒄿𒉌𒋗 (Šu-i-li2-šu) / 神之手,0.5,IL (神/示) 信号。,𒈗,0.01,底噪。,回归神像。从异邦（埃兰）手中夺回失落的祭器（示）。,1,复兴/复仇。从同一个外族手中夺回资产/主权，完美对齐王恒逻辑。
88,Nannia,𒈾𒀭𒉌𒀀 (Nan-ni-a),0.01,纯音译。,𒈗,0.01,底噪。,基什第四王朝终结。,0.01,逻辑断裂。
89,Lugal-zage-si,𒈗𒍝Ꭸ𒋛 (Lugal-za-ge-si),0.1,侧重扩张与地位。,𒈗,0.01,底噪。,统一苏美尔后被杀。,0.1,守成失败。
