序号,王名字,楔形文字/转写,名字分,名字逻辑 (上/犬/甲/田/深),王号标签,王号分,王号逻辑 (苏+阿硬核对撞),事迹描述,事迹分,终极逻辑汇总
1,Alulim,𒀉𒇻𒅆 (A-lu-lim),1,A (深渊/水) + LU (羊/田)。,Lugal,0.01,仅苏美尔王号，无阿卡德对撞。,建立文明首序。,0.1,奠基而非驱逐。
2,Alalngar,𒀉𒋭𒀉,0.1,侧重丰产。,Lugal,0.01,王号不合规。,统治 36000 年。,0.01,守成。
3,En-men-lu-ana,𒂗𒈨𒇻𒀭𒈾,1,ANA (上) + LU (羊/田)。,En,0.01,仅祭司头衔，无阿卡德对撞。,早期资产管理。,0.1,维持秩序。
4,En-men-gal-ana,𒂗𒈨𒃲𒀭𒈾,0.5,ANA (上) 信号。,En,0.01,王号不合规。,统治 28800 年。,0.01,无。
5,Dumuzid,𒌉𒍣 (Dumu-zid),1,𒌉 (DUMU/子/犬) 原始信号。,Sipad,0.01,仅牧人头衔，王号不合规。,牧人神。,0.1,守成。
6,En-sipad-zid-ana,𒂗𒉺𒍣𒀭𒈾,0.5,ANA (上) 信号。,En,0.01,王号不合规。,统治 28800 年。,0.01,无。
7,En-men-dur-ana,𒂗𒈨樽𒀭𒈾,1,ANA (上) + IDIM (深渊/昏暗)。,En-Lugal,0.1,虽有双重苏美尔头衔，但无阿卡德。,获得占卜秘术。,0.5,深渊神启。
8,Ubara-Tutu,𒌑𒁀ρας,0.1,侧重保护。,Lugal,0.01,王号不合规。,洪水前末王。,0.01,终结逻辑。
9,Jushur,𒄑𒃡 (Ĝušur),0.5,侧重行政重启。,Lugal,0.01,王号不合规。,洪水后首王。,0.5,文明恢复。
10,Kullassina-bel,𒆪𒆷𒋛𒈾𒁁𒂖,1,KU (甲/皮) + Kullassina (阿卡德语: 所有人)。,Lugal + Bel,0.5,完美坍缩！Bel (阿卡德语: 主人) 直接嵌入名字。,重建基什秩序。,1,上甲化身：名字带甲，王号苏阿重合，复兴统治。
11,Nangishlishma,𒈾𒄑𒇺𒈠,0.5,语义含“展示（示）”。,Lugal,0.01,王号不合规。,统治 670 年。,0.01,无。
