SKL序号,王名字,楔形文字 / 转写 / 意义,名字得分,名字得分理由,历史王号 / 楔形文字,王号得分,王号得分理由,核心事迹,事迹得分与理由,事迹得分与理由,
1,Alulim,𒀉𒇻𒅆 (A-lu-lim) / 鹿,0.5,"无草木(GIŠ/ZI)或刀拓扑, 有鹿",𒈗 𒉣𒆠 (King of Eridu),0.01,纯地理王号,王权自天而降的首位君主,0.5,0.5 / 虽是首王，但无农业初创属性,
2,Alalngar,𒀉𒋭𒃻 (Á-làl-ĝar),0.01,纯音译底噪。无 ĜIŠ (木) 或 GIR (刀)。,𒈗 (Lugal),0.01,行政头衔，无职能奠基。,统治埃利都 36000 年。,0.01,无奠基/契刻事迹。,
3,En-men-lu-ana,𒂗𒈨𒇽𒀭 (En-me-lu-ana),0.5,ME (法/农时) 拓扑,𒂗 (En / 主),0.5,En = 尹/史 (主),统治巴德·提比拉,0.01,0.01 / 无高祖事迹,
4,En-men-gal-ana,𒂗𒈨𒃲𒀭 (En-men-gal-ana),0.5,ME (法/农时) 拓扑,𒂗 (En / 主),0.5,En = 尹/史,统治巴德·提比拉,0.01,0.01 / 无高祖事迹,
5,Dumuzid,𒌉𒍣 (Dumu-zi) / 萌芽/草木之子,0.5,ZI = 萌芽/草木，对应“契”之“丰”,𒌉𒀭 (Dumu-An) / 神之子,1,完美对应“农神之子俊”,牧羊人，死而复生的丰饶之神,1,1.0 / 奠基商代农业祭祀原型,
6,En-sipad-zid-ana,𒂗𒉺𒍣𒀭 (En-sipad-zi-ana),0.5,ZI = 萌芽/草木,𒂗 (En / 主),0.5,En = 尹/史,统治拉拉克 (Larak),0.01,0.01 / 无奠基事迹,
7,En-men-dur-ana,𒂗𒈨𒊹𒀭𒈾 (En-men-dur-ana),0.5,ME (法/农时) 拓扑,𒂗 (En / 主),0.5,En = 尹/史,统治西帕尔 (Sippar),0.01,0.01 / 无奠基事迹,
8,Ubara-Tutu,𒌓𒁀𒊏𒀭𒌓 (Ubara-Tutu),0.01,名字意为“太阳神的保护”,𒈗 (King),0.01,纯行政头衔,洪水前最后一位王,0.01,0.01 / 亡国/洪水终结者,
9,Jushur,𒄑𒃡 (ĜIŠ.UR3) / 木+基础,0.5,ĜIŠ = 草/木/丰，拓扑相干,𒆧𒆠 (King of Kish),0.01,纯地理王号,大洪水后首位君主,1,1.0 / 洪水后首王=高祖起始点,
10,Kullassina-bel,Kullassina-bel / 所有人都是主,0.01,无草木/刀拓扑,𒈗 (King),0.01,纯行政头衔,统治基什,0.01,0.01 / 守成平庸,
11,Nangishlishma,nan-𒄑-liš-ma / 含木,0.5,含有 ĜIŠ (木),𒈗 (King),0.01,纯行政头衔,统治基什,0.01,0.01 / 无奠基事迹,
12,En-tarah-ana,En-tarah-ana / 羚羊之主,0.01,动物拓扑,𒂗 (En / 主),0.5,En = 尹/史 (主),统治基什,0.01,0.01 / 底噪,
13,Babum,Ba-bu-um,0.01,纯音译底噪,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
14,Puannum,Pu-an-nu-um,0.01,纯音译底噪,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
15,Kalibum,Ka-li-bu-um / 犬,0.01,只有动物拓扑 (犬),𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
16,Kalumum,Ka-lu-mu-um / 羔羊,0.01,只有动物拓扑 (羔羊),𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
17,Zuqaqip,Zu-qa-qi-ip / 蝎子,0.01,只有动物拓扑 (蝎子),𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
18,Atab,A-tab / 父亲,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
19,Mashda,Maš-da / 瞪羚,0.01,只有动物拓扑 (瞪羚),𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
20,Arwium,Ar-wi-um / 狮子,0.01,只有动物拓扑 (狮子),𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
21,Etana,E-ta-na / 升天者,0.01,无草木/刀拓扑,𒉺𒇻 (Shepherd),0.5,牧神职能相关,寻找生育草，骑鹰升天,0.5,0.5 / 文明功能化节点,
22,Balih,Ba-li-ih / 对应Etana之子,0.01,纯音译底噪,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
23,En-me-nuna,En-me-nun-na,0.01,无草木/刀拓扑,𒂗 (En / 主),0.5,En = 尹/史,统治基什,0.01,0.01 / 底噪,
24,Melem-Kish,Melem-Kish / 基什之光,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
25,Barsal-nuna,Bar-sal-nun-na,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
26,Zamug,Za-mu-ug,0.5,含有 MU (木/丰) 组件。,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
27,Tizqar,Ti-iz-qar,0.5,含有 ĜIŠ (木) 组件。,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
28,Ilku,Il-ku,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
29,Iltasadum,Il-ta-sa-du-um,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,统治基什,0.01,0.01 / 底噪,
30,En-me-barage-si,𒈨𒁈𒋛 (SI) / 法+祭坛+角/草,0.5,SI = 具有草木生长拓扑,𒂗 (En / 主),0.5,En = 尹/史,击败埃兰，建立首个霸权,1,1.0 / 早期历史奠基者,
31,Aga,𒀀𒂵 (A-ga) / 水 + 奶,0.01,无草木/刀拓扑,𒈗 (King),0.01,无相关神格,被乌鲁克的吉尔伽美什击败,0.01,0.01 / 王权转移节点,
32,Mesh-ki-ang-gasher,𒈩𒆠𒉘𒂵𒊺𒅕 / 英雄+地+谷物/草,0.5,含有 𒊺 (ŠE) 谷物/大麦，对应“丰”之农业拓扑,𒂗 (En / 主),0.5,En = 尹/史 (主),乌鲁克第一王朝开创者，传进入大海消失,1,王朝始祖 = 高祖，具有神性消失特征,URUK I
33,Enmerkar,𒂗𒈨𒅕𒃸 / 主 + 法(农时),0.5,ME (𒈨) 包含农业法典与文明规范,𒂗 (Lord of Uruk),0.5,En = 尹/史,营建乌鲁克城，发明文字，与阿拉塔远征,1,核心文明奠基者，对应“契”之造字/初创事迹,
34,Lugalbanda,𒈗𒌉𒁕 / 年轻的王,0.01,无草木/刀拓扑,𒈗 (Lugal / 王),0.01,纯世俗头衔,英雄史诗主角，获得神速能力,0.01,侧重个人神话冒险，非宗庙高祖奠基,
35,Dumuzid (Fisherman),𒌉𒍣 (Dumu-zi) / 萌芽/草木之子,0.5,ZI = 萌芽/草木，对应“契”之“丰”(Fisherman),𒌉𒀭 (Dumu-An) / 神之子,1,完美对应“农神之子俊”,统治 100 年，捕获反叛者，死而复生,1,奠基商代农业/死而复生祭祀原型,
36,Gilgamesh,𒀭𒄑𒉋𒂵𒈨𒌋𒌋 / 含有木,0.5,含有 ĜIŠ (木/草) 符号,𒈗 (Lugal),0.01,纯世俗头衔,杀芬巴巴，修筑乌鲁克城墙，寻找永生,0.01,史诗英雄属性掩盖了奠基属性，与“契”不符,
37,Ur-Nungal,𒌨𒀭𒉣𒃲 / 大女神之子,0.01,无草木/刀拓扑,𒈗 (Lugal),0.01,纯世俗头衔,统治 30 年,0.01,守成期底噪,
38,Udul-kalama,𒌋𒀜𒌌𒌦𒈠 / 牧人,0.01,职业词，无特定植物拓扑,𒈗 (Lugal),0.01,纯世俗头衔,统治 15 年,0.01,守成期底噪,
39,La-ba-shum,𒆷𒁀𒋳,0.01,纯音译底噪,𒈗 (Lugal),0.01,无相关神格,统治 9 年,0.01,守成期底噪,
40,En-nun-tarah-ana,𒂗𒉣𒋻−𒀭 / 羚羊之主,0.5,TAR (𒋻) 含有切割/刀拓扑,𒂗 (En / 主),0.5,En = 尹/史,统治 8 年,0.01,短暂统治，无奠基事迹,
41,Mesh-he,𒈩𒄭 / 英雄,0.01,无草木/刀拓扑,𒈗 (Lugal),0.01,纯世俗头衔,统治 36 年,0.01,守成期底噪,
42,Melem-ana,𒈨𒉈𒀭 / 神之光,0.01,无草木/刀拓扑,𒈗 (Lugal),0.01,纯世俗头衔,统治 6 年,0.01,守成期底噪,
43,Lugal-kitun,𒈗𒆠𒆪 / 王之基座,0.01,无草木/刀拓扑,𒈗 (Lugal),0.01,纯世俗头衔,统治 36 年,0.01,乌鲁克第一王朝终结者,
44,Mesannepada,𒈩𒀭𒉌𒅆𒊒𒁕 (Mes-an-ne2-pa3-da) / 被安神选中的英雄,0.01,名字侧重“英雄/神选”，无草木/刀拓扑,𒈗 𒋀𒀊𒆠 (King of Ur),0.01,纯地方霸权王号,建立乌尔第一王朝，确立乌尔霸权,0.5,王朝奠基者，但非跨文明的高祖始祖,Ur I
45,Mesh-ki-ang-nuna,𒈩𒆠𒉘𒉣𒈾 (Mes-ki-aĝ2-nun-na) / 显赫之地的英雄,0.01,无草木/刀拓扑,𒈗 (Lugal / 王),0.01,纯行政头衔,统治乌尔 36 年,0.01,守成期，无开创事迹,
46,Elulu,𒂊𒇻𒇻 (E-lu-lu),0.01,纯音译底噪,𒈗 (Lugal / 王),0.01,纯行政头衔,统治乌尔 25 年,0.01,守成期底噪,
47,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),0.01,纯音译底噪,𒈗 (Lugal / 王),0.01,纯行政头衔,乌尔第一王朝终结者,0.01,亡国/失权节点,
48,Awan king 1,,,,,,,,,,
49,Awan king 2,,,,,,,,,,
50,Awan king 3,,,,,,,,,,
51,Susuda,𒋢𒋢𒁕 (Su3-su3-da) / 散布、倾倒,0.01,动词词根，无草木/刀拓扑,𒈗 (Lugal / 王),0.01,纯世俗头衔,统治基什 201 年,0.01,守成期，无高祖奠基事迹,Kish II
52,Dadasig,𒁕𒁕𒋛 (Da-da-sig) / 狭窄、微弱,0.01,无草木/刀拓扑,𒈗 (Lugal / 王),0.01,纯世俗头衔,统治基什 81 年,0.01,守成期，无高祖奠基事迹,
53,Mamagal,𒈠𒈠𒃲 (Ma-ma-gal) / 伟大的母亲,0.5,Mama 在苏美尔语境中代表大地/母神，具原始农业/生育含义,𒈗 (Lugal / 王),0.01,纯世俗头衔,统治基什 360 年,0.01,长寿神话，缺乏文明奠基事实,
54,Kalbum,𒆗𒁍𒌝 (Kal-bu-um) / 犬 (Dog),0.01,UR (犬/兽) 拓扑，对 S1 (契) 为底噪,𒈗 (Lugal / 王),0.01,纯世俗头衔,统治基什 195 年,0.01,(预警) 此为 S2(亥) 潜在特征，对 S1 为负样本,
55,Tuge,𒌅𒄀 (Tu-ge₂) / 刻/工具 + 草/芦苇,0.5,𒄀(GI)=草/丰；𒌅(TU)组件𒆪(KU)为木工利器，对应刀/刻,𒈗 (Lugal / 王),0.01,纯行政头衔,统治基什 360 年,0.01,统治虽长，但无王朝开创或文明重塑事迹,
56,Men-nuna,𒈨𒉣𒈾 (Me-nun-na) / 显赫之法,0.5,ME (𒈨) 符号包含农业法典与文明规范,𒂗 (En / 主),0.5,En = 尹/史 (主),统治基什 180 年,0.01,守成期，无王朝开创或文明重塑事迹,
57,Enbi-Ishtar,𒂗𒁉𒀭𒈹 (Enbi-Ištar) / 呼唤伊什塔尔女神,0.01,名字侧重金星/战争女神，无草木/刀拓扑,𒈗 (Lugal / 王),0.01,纯世俗头衔,统治基什 290 年,0.01,守成期底噪,
58,Lugal-mu,𒈗𒈬 (Lugal-mu) / 王 + 名木/岁木,0.5,𒈬(MU) 原始字形为带刻痕之木，拓扑上完美对撞“丰(木)”。,𒈗 (Lugal / 王),0.01,纯世俗行政头衔,基什第二王朝的末代君主，统治 360 年,0.01,虽名字得分极高，但作为王朝终结者，缺乏高祖奠基事迹。,
59,Hadanish,𒄩𒁕𒉌𒅖 (Ha-da-ni-iš),0.01,纯音译底噪，无木/草/刀拓扑,𒈗 (Lugal / 王),0.01,纯地方王号,统治哈马齐 (Hamazi) 360 年,0.01,记载模糊，守成期底噪,
60,Enshakushanna,𒂗𒊮𒆪𒀭𒈾 (En-šag4-ku3-an-na),0.01,侧重宗教心理描述，无特定植物/工具符号,𒈗 𒌦 (Lugal-kalam-ma),0.5,“国土之王” 对应大一统王号雏形,征服基什，掠夺各城，自称苏美尔之主,0.5,早期大一统尝试者，但非文明初创高祖,
61,Lugal-kinishe-dudu,𒈗𒆠𒉌𒂠𒌌𒌌 (Lugal-ki-ni-še3-du7-du7),0.5,𒂠 (ŠE3) 符号在原始字形中与 𒊺 (ŠE/谷物) 存在拓扑重叠，具“草”信号,𒈗 𒀕𒆠 (King of Uruk),0.01,纯地方行政头衔,与拉格什结盟，统一乌鲁克与乌尔,0.01,区域整合者，非全域高祖,
62,Argandea,𒅈𒃶𒁲𒀀 (Ar-gan-de-a),0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治乌鲁克 7 年,0.01,短命君主，守成期底噪,
63,Nanni,𒀭𒈾𒉌 (Nan-ni),0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治乌尔 (Ur) 120 年,0.01,记载模糊，守成期底噪,
64,Mesh-ki-ang-Nanna,𒈩𒆠𒉘𒀭𒋀 / 英雄+地+月神,0.01,无木/草/刀拓扑,𒈗 (Lugal),0.01,纯行政头衔,统治乌尔 48 年,0.01,守成期，无开创事迹,
65,Elulu,𒂊𒇻𒇻 (E-lu-lu),0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治乌尔 25 年,0.01,守成期底噪,
66,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,乌尔第二王朝终结者,0.01,亡国/失权节点,
67,Lugal-Anne-Mundu,𒈗𒀭𒉈𒈬𒌦𒆕 (Lugal-an-ne2-mu-un-du3),1,MU(𒈬)=木/丰；DU3(𒆕) 原始拓扑为钉/钻/刻，完美对撞“契”之刀/刻。,𒈗 𒌒𒁕 𒐉𒁀,1,四方之王，商代“四方/两土”王号的终极原型。,征服埃兰、叙利亚及古提人，建立首个跨域帝国。,1,全域奠基者，对应“契”之显赫开拓事迹。,
68,Anbu,𒀭𒅤 (An-bu),0.01,天神属性，无木/草/刀拓扑。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 (Mari) 30 年,0.01,地方割据，守成期底噪。,
69,Anba,𒀭𒁀 (An-ba),0.01,无特定植物/工具符号。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 17 年,0.01,守成期底噪。,
70,Bazi,𒁀𒍣 (Ba-zi) / 给予 + 萌芽,0.5,ZI (𒍣) = 萌芽/草木，对应“丰”。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 30 年,0.01,地方性君主，无高祖奠基事迹。,
71,Zizi,𒍣𒍣 (Zi-zi) / 萌芽+萌芽,0.5,ZI = 萌芽/草，重复表达。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 20 年,0.01,守成期底噪。,
72,Limer,𒇷𒈨𒅕 (Li-me-er),0.01,纯音译底噪。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 30 年,0.01,守成期底噪。,
73,Sharrum-iter,𒊬𒊒𒌝𒄿𒋼𒅕,0.01,阿卡德语名字，无苏美尔拓扑。,𒈗 (Lugal),0.01,纯行政头衔,统治马里 9 年,0.01,守成期底噪。,
74,Ku-Baba,𒆬𒁀𒁀 (Ku3-Ba-ba6) / 圣洁的大地母神,0.5,Baba 代表大地/谷物女神；BA 有分割/分发拓扑。,𒈗 (Lugal),0.5,唯一女王，具有极高的神权统摄力。,经营酒馆出身，重建基什霸权，被神化为母神。,1,文明重启者，对应“契”之母性神权背景。,
75,Unzi,𒌦𒍣 (Un-zi),0.5,仅含 ZI (丰)，缺少“刀”与“大/兽”联动。,𒈗 (Lugal),0.01,纯行政头衔,统治阿克沙克 30 年,0.01,守成期底噪,
76,Undalulu,𒌦𒁕𒇻𒇻,0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治 12 年,0.01,守成期,
77,Urur,𒌨𒌨 (Ur-ur),0.5,仅含 UR (兽)，缺少“丰”与“刀”联动。,𒈗 (Lugal),0.01,纯行政头衔,统治 6 年,0.01,(预警) S2 特征,
78,Puzur-Nirah,𒅤𒊭𒀭𒈲,0.01,蛇神拓扑，无相关组件,𒈗 (Lugal),0.01,纯行政头衔,统治 20 年,0.01,守成期,
79,Ishu-Il,𒄿𒋗𒀭,0.01,无拓扑对撞,𒈗 (Lugal),0.01,纯行政头衔,统治 24 年,0.01,守成期,
80,Ishme-Shamash,𒅖𒈨𒀭𒌓,0.01,月神属性,𒈗 (Lugal),0.01,纯行政头衔,阿克沙克终结,0.01,亡国节点,
81,Puzur-Suen,𒅤𒊭𒀭𒂗𒍪,0.01,月神之秘,𒈗 (Lugal),0.01,纯行政头衔,Kish IV 开创,0.5,王朝奠基者,
82,Ur-Zababa,𒌨𒀭𒍝𒁀𒁀,0.5,仅含 UR (兽)，缺少“丰”与“刀”联动。,𒈗 (Lugal),0.01,纯行政头衔,萨尔贡之主,0.5,剧变期关键节点,
83,Zimudar,𒍣𒈬𒁯 (Zi-mu-dar),0.5,含有 ZI (丰) 和 MU (丰)，但缺少“刀”。,𒈗 (Lugal),0.01,纯行政头衔,统治基什 30 年,0.01,守成期,
84,Usi-watar,ᎤᏏᏩᏔ爾,0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治 7 年,0.01,守成期,
85,Eshtar-muti,𒀭𒈹𒈬𒋾,0.5,MU (丰) 孤立存在，缺少“刀”与“大/兽”。,𒈗 (Lugal),0.01,纯行政头衔,统治 11 年,0.01,,
86,Ishme-Shamash,𒅖𒈨𒀭𒌓,0.01,太阳神语境,𒈗 (Lugal),0.01,纯行政头衔,统治 11 年,0.01,守成期,
87,Shu-ilishu,𒋗𒄿𒇷𒋗,0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,统治 15 年,0.01,守成期,
88,Nannia,𒈾𒀭𒉌𒀀,0.01,纯音译底噪,𒈗 (Lugal),0.01,纯行政头衔,Kish IV 终结,0.01,亡国节点,
89,Lugal-zage-si,𒈗𒍝詣𒋛 / 王+角/草,0.5,Lugal (大) + SI (丰)。缺失“刀”。,𒈗 𒌦,0.5,国土之王,统一苏美尔所有城邦，历史上首位真正意义上的统一者。,0.5,虽是统一者，但在商祖逻辑中缺乏初创神权。,
90,Sharru-kin,𒊬𒊒𒌝𒄀 (Šar-ru-gi),0.5,GI (丰) + Šar (王/大)。缺失“刀”。,𒈗 ربعة,1,天下四方之王,建立首个中央集权帝国，文字与度量衡统一的先驱。,1,文明重启级高祖。,
91,Rimush,𒊑𒈬𒍑 (Ri-mu-š),0.5,MU (木/丰) 存在。缺失“刀”与“大/兽”。,𒈗 (Lugal),0.01,纯行政头衔,惨烈的镇压与屠杀，维持帝国统一。,0.01,守成期，侧重暴力而非文明初创。,
92,Manishtushu,𒈠𒉌𒅖𒌅𒋢,0.5,TU (刀/刻) 存在。缺失“丰”与“大/兽”。,𒈗 (Lugal),0.01,纯行政头衔,远征波斯湾，扩大贸易版图。,0.01,守成期底噪。,
93,Naram-Sin,𒈾𒊏𒄠𒀭𒂗𒍪,0.01,无相关符号。,𒀭 (Dingir),1,神化王权,帝国极盛，自命为神，导致“阿卡德的诅咒”。,0.5,极盛期君主，非奠基高祖。,
94,Shar-kali-sharri,𒊬𒂵𒉌𒊬𒌷,0.01,阿卡德语“万王之王”，无物理拓扑。,𒈗 (Lugal),0.01,纯行政头衔,帝国崩溃，防御古提人入侵。,0.01,衰落节点。,
95,Ur-nigin,𒌨𒉌𒄀 (Ur-ni9-gin2) / 兽 + 围栏,0.5,UR (兽) 存在。但 ni9-gin2 缺乏“丰”与“刀”联动。,𒈗 (Lugal),0.01,纯行政头衔,建立乌鲁克第四王朝，初步抵抗古提人。,0.5,王朝开创者。,
96,Ur-gigir,𒌨𒄑𒇀 (Ur-ĝiš-gigir) / 兽 + 木/丰 + 刀/车/刻,1,UR (兽) + ĜIŠ (木/丰) + GIGIR (含 GIR/刀 拓扑)。三位一体完美对撞。,𒂗 (En),1,En = 尹/史 (商代核心官职/祭司原型),领导苏美尔人反抗蛮族，文明火种的保存者与传递者。,1,高祖级奠基事迹，对应“契”之初创功绩。,
97,Kuda,𒆪𒁕 (Ku-da) / 刻/工具 + 侧,0.5,KU (刀/刻) 存在。但 缺失“丰”与“兽/大” 联动。,𒈗 (Lugal),0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
98,Puzur-ili,𒅤𒊭𒄿𒉌,0.01,阿卡德语名字，无物理拓扑对撞。,𒈗 (Lugal),0.01,纯行政头衔,统治 5 年。,0.01,守成期底噪。,
99,Ur-Utu,𒌨𒀭𒌓 (Ur-Utu) / 兽 + 太阳神,0.5,UR (兽) 存在。缺失“丰”与“刀”。,𒈗 (Lugal),0.01,纯行政头衔,乌鲁克第四王朝终结者。,0.01,亡国节点。,
100,Erridupizir,𒅕𒊑𒁺𒁉𒍣𒅕,0.01,古提语名字，无物理拓扑对撞。,𒈗,0.01,纯行政头衔,占领尼普尔，首位自称王的古提人。,0.01,破坏者，非奠基者。,
101,Imta,𒅎𒋫,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 3-5 年。,0.01,守成期。,
102,Inkishush,𒅔𒆠𒋗𒍑,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
103,Sarlagab,𒊬𒆷𒃲,0.5,GAL (大) 存在，但缺失“丰”与“刀”。,𒈗,0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
104,Shulme,𒂄𒈨,0.5,ME (法/农时) 存在，但缺失“刀”与“兽”。,𒈗,0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
105,Elulumesh,𒂊𒇻𒇻𒈩,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
106,Inimabakesh,𒅔𒅎𒈠𒁀 इसने,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 5 年。,0.01,守成期。,
107,Igeshaush,𒄿Ꭸ𒊭𒍑,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 6 年。,0.01,守成期。,
108,Yarlagab,𒅀𒅈𒆷𒃲,0.5,GAL (大) 存在，缺失“丰”与“刀”。,𒈗,0.01,纯行政头衔,统治 15 年。,0.01,守成期。,
109,Ibate,𒄿𒁀𒋼,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 3 年。,0.01,守成期。,
110,Yarla,𒅀𒅈𒆷,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 3 年。,0.01,守成期。,
111,Kurum,𒆪𒊒𒌝,0.5,KU (刀/刻) 存在，缺失“丰”与“兽/大”。,𒈗,0.01,纯行政头衔,统治 1 年。,0.01,守成期。,
112,Apilkin,𒀀ப்பில்කින්,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 3 年。,0.01,守成期。,
113,La-erabum,𒆷𒂊𒊏𒁍𒌝,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 2 年。,0.01,守成期。,
114,Irarum,𒄿𒊏𒊒𒌝,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 2 年。,0.01,守成期底噪。,
115,Ibranum,𒄿𒅁𒊏𒉡𒌝,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 1 年。,0.01,守成期。,
116,Hablum,𒄩𒀊𒇻𒌝,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 2 年。,0.01,守成期。,
